,3PA,3PM,3PM-A,AST,BLK,DREB,FGA,FGM,FGM-A,FTA,FTM,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,player,player_pos,player_url,team_name
0,3,0,0-3,1,0,3,20,12,12-20,5,4,4-5,30,0,1,28,3,1,1,Shavon Shields,F,http://espn.go.com/mens-college-basketball/player/_/id/62741/shavon-shields,Nebraska Cornhuskers
1,1,0,0-1,0,0,6,2,0,0-2,4,4,4-4,31,2,4,4,8,0,0,Michael Jacobson,F,http://espn.go.com/mens-college-basketball/player/_/id/3911895/michael-jacobson,Nebraska Cornhuskers
2,2,1,1-2,2,0,1,12,6,6-12,0,0,0-0,31,0,1,13,1,2,1,Glynn Watson Jr.,G,http://espn.go.com/mens-college-basketball/player/_/id/3911892/glynn-watson-jr.,Nebraska Cornhuskers
3,4,1,1-4,0,0,1,8,3,3-8,0,0,0-0,19,0,5,7,1,1,0,Andrew White,G,http://espn.go.com/mens-college-basketball/player/_/id/61616/andrew-white,Nebraska Cornhuskers
4,1,0,0-1,1,0,0,2,1,1-2,0,0,0-0,25,1,0,2,1,2,2,Benny Parker,G,http://espn.go.com/mens-college-basketball/player/_/id/62739/benny-parker,Nebraska Cornhuskers
5,3,2,2-3,1,0,6,5,3,3-5,0,0,0-0,23,0,2,8,6,0,0,Jack McVeigh,F,http://espn.go.com/mens-college-basketball/player/_/id/3911893/jack-mcveigh,Nebraska Cornhuskers
6,0,0,0-0,0,0,4,1,0,0-1,0,0,0-0,9,0,3,0,4,0,1,Ed Morrow,F,http://espn.go.com/mens-college-basketball/player/_/id/3911896/ed-morrow,Nebraska Cornhuskers
7,0,0,0-0,3,0,6,8,4,4-8,5,2,2-5,32,1,1,10,7,1,1,Tai Webster,G,http://espn.go.com/mens-college-basketball/player/_/id/67619/tai-webster,Nebraska Cornhuskers
8,0,0,0-0,3,1,8,6,3,3-6,5,2,2-5,24,2,0,8,10,0,1,Matt Costello,F,http://espn.go.com/mens-college-basketball/player/_/id/62612/matt-costello,Michigan State Spartans
9,0,0,0-0,1,2,4,11,5,5-11,6,3,3-6,29,3,1,13,7,0,3,Deyonta Davis,F,http://espn.go.com/mens-college-basketball/player/_/id/3937101/deyonta-davis,Michigan State Spartans
10,8,6,6-8,6,0,4,16,9,9-16,0,0,0-0,38,2,2,24,6,1,3,Denzel Valentine,G,http://espn.go.com/mens-college-basketball/player/_/id/62615/denzel-valentine,Michigan State Spartans
11,4,4,4-4,2,0,2,6,5,5-6,0,0,0-0,22,0,3,14,2,0,2,Eron Harris,G,http://espn.go.com/mens-college-basketball/player/_/id/61214/eron-harris,Michigan State Spartans
12,5,1,1-5,3,0,2,8,1,1-8,0,0,0-0,35,1,3,3,3,0,0,Bryn Forbes,G,http://espn.go.com/mens-college-basketball/player/_/id/61817/bryn-forbes,Michigan State Spartans
13,0,0,0-0,0,0,2,2,0,0-2,4,4,4-4,10,0,0,4,2,0,1,Gavin Schilling,F,http://espn.go.com/mens-college-basketball/player/_/id/67027/gavin-schilling,Michigan State Spartans
14,0,0,0-0,1,1,2,2,0,0-2,6,3,3-6,20,3,5,3,5,0,0,Javon Bess,F,http://espn.go.com/mens-college-basketball/player/_/id/3147687/javon-bess,Michigan State Spartans
15,0,0,0-0,1,0,0,0,0,0-0,0,0,0-0,4,0,0,0,0,0,0,Colby Wollenman,F,http://espn.go.com/mens-college-basketball/player/_/id/60839/colby-wollenman,Michigan State Spartans
16,1,0,0-1,2,0,0,6,1,1-6,0,0,0-0,18,0,1,2,0,1,0,Matt McQuaid,G,http://espn.go.com/mens-college-basketball/player/_/id/3937103/matt-mcquaid,Michigan State Spartans
