,3PA,3PM,3PM-A,AST,BLK,FGA,FGM,FGM-A,FTA,FTM,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,player,player_pos,player_url,team_name
0,5,4,4-5,4,0,6,5,5-6,4,1,1-4,30,0,5,15,3,1,5,Kyle Singler,F,http://espn.go.com/mens-college-basketball/player/_/id/36156/kyle-singler,Duke Blue Devils
1,0,0,0-0,1,0,6,4,4-6,2,1,1-2,26,3,2,9,4,2,1,Lance Thomas,F,http://espn.go.com/mens-college-basketball/player/_/id/31710/lance-thomas,Duke Blue Devils
2,2,0,0-2,3,0,12,4,4-12,13,11,11-13,37,0,1,19,4,0,1,Gerald Henderson,G,http://espn.go.com/mens-college-basketball/player/_/id/31708/gerald-henderson,Duke Blue Devils
3,2,1,1-2,0,0,6,5,5-6,0,0,0-0,31,0,3,11,2,0,3,Elliot Williams,G,http://espn.go.com/mens-college-basketball/player/_/id/41721/elliot-williams,Duke Blue Devils
4,4,2,2-4,1,0,8,3,3-8,14,10,10-14,37,0,1,18,3,2,0,Jon Scheyer,G,http://espn.go.com/mens-college-basketball/player/_/id/31709/jon-scheyer,Duke Blue Devils
5,1,0,0-1,2,0,2,0,0-2,0,0,0-0,21,0,2,0,1,0,3,Nolan Smith,G,http://espn.go.com/mens-college-basketball/player/_/id/36157/nolan-smith,Duke Blue Devils
6,1,0,0-1,0,0,1,0,0-1,0,0,0-0,5,0,0,0,0,0,0,Greg Paulus,G,http://espn.go.com/mens-college-basketball/player/_/id/27023/greg-paulus,Duke Blue Devils
7,0,0,0-0,0,0,0,0,0-0,0,0,0-0,1,0,0,0,0,0,0,Martynas Pocius,G,http://espn.go.com/mens-college-basketball/player/_/id/27024/martynas-pocius,Duke Blue Devils
8,0,0,0-0,0,2,2,2,2-2,0,0,0-0,8,1,4,4,3,0,0,Miles Plumlee,F,http://espn.go.com/mens-college-basketball/player/_/id/41720/miles-plumlee,Duke Blue Devils
9,0,0,0-0,0,0,0,0,0-0,0,0,0-0,4,0,2,0,0,0,0,Brian Zoubek,C,http://espn.go.com/mens-college-basketball/player/_/id/31711/brian-zoubek,Duke Blue Devils
10,0,0,0-0,0,1,13,6,6-13,3,3,3-3,31,3,5,15,5,0,2,Sean Evans,F,http://espn.go.com/mens-college-basketball/player/_/id/36555/sean-evans,St John's Red Storm
11,0,0,0-0,0,0,3,2,2-3,0,0,0-0,18,0,5,4,1,0,1,Rob Thomas,F,http://espn.go.com/mens-college-basketball/player/_/id/31979/rob-thomas,St John's Red Storm
12,1,1,1-1,3,0,10,7,7-10,6,5,5-6,39,1,5,20,9,3,2,D.J. Kennedy,G,http://espn.go.com/mens-college-basketball/player/_/id/36553/d.j.-kennedy,St John's Red Storm
13,0,0,0-0,4,0,6,4,4-6,3,2,2-3,37,1,4,10,1,1,6,Malik Boothe,G,http://espn.go.com/mens-college-basketball/player/_/id/36552/malik-boothe,St John's Red Storm
14,1,1,1-1,1,0,5,3,3-5,0,0,0-0,20,0,5,7,2,0,2,Paris Horne,G,http://espn.go.com/mens-college-basketball/player/_/id/36556/paris-horne,St John's Red Storm
15,1,0,0-1,2,0,9,3,3-9,0,0,0-0,24,1,1,6,2,0,3,Quincy Roberts,G,http://espn.go.com/mens-college-basketball/player/_/id/41097/quincy-roberts,St John's Red Storm
16,0,0,0-0,0,0,2,2,2-2,0,0,0-0,8,0,0,4,0,2,0,TyShwan Edmondson,G,http://espn.go.com/mens-college-basketball/player/_/id/41096/tyshwan-edmondson,St John's Red Storm
17,0,0,0-0,0,0,0,0,0-0,2,2,2-2,10,0,0,2,0,0,0,Dele Coker,F,http://espn.go.com/mens-college-basketball/player/_/id/36554/dele-coker,St John's Red Storm
18,0,0,0-0,0,0,2,0,0-2,2,1,1-2,13,0,1,1,1,0,2,Justin Burrell,F,http://espn.go.com/mens-college-basketball/player/_/id/36557/justin-burrell,St John's Red Storm
